/docker-entrypoint.sh: /docker-entrypoint.d/ is not empty, will attempt to perform configuration
/docker-entrypoint.sh: Looking for shell scripts in /docker-entrypoint.d/
/docker-entrypoint.sh: Launching /docker-entrypoint.d/10-listen-on-ipv6-by-default.sh
10-listen-on-ipv6-by-default.sh: info: Getting the checksum of /etc/nginx/conf.d/default.conf
10-listen-on-ipv6-by-default.sh: info: /etc/nginx/conf.d/default.conf differs from the packaged version
/docker-entrypoint.sh: Sourcing /docker-entrypoint.d/15-local-resolvers.envsh
/docker-entrypoint.sh: Launching /docker-entrypoint.d/20-envsubst-on-templates.sh
/docker-entrypoint.sh: Launching /docker-entrypoint.d/30-tune-worker-processes.sh
/docker-entrypoint.sh: Configuration complete; ready for start up
2024/11/06 20:44:43 [notice] 19#19: using the "epoll" event method
2024/11/06 20:44:43 [notice] 19#19: nginx/1.27.2
2024/11/06 20:44:43 [notice] 19#19: built by gcc 13.2.1 20240309 (Alpine 13.2.1_git20240309) 
2024/11/06 20:44:43 [notice] 19#19: OS: Linux 5.10.102.2-microsoft-standard
2024/11/06 20:44:43 [notice] 19#19: getrlimit(RLIMIT_NOFILE): 1024:1048576
2024/11/06 20:44:43 [notice] 19#19: start worker processes
2024/11/06 20:44:43 [notice] 19#19: start worker process 46
10.92.0.10 - - [07/Nov/2024:02:33:06 +0000] "\x16\x03\x01\x00\xAC\x01\x00\x00\xA8\x03\x03\xFDEe\xBBOV\xA9\xD5\xA0\xC3`\xA8\x7FSO\xE5\xDD\xB7\x0FU\xFB\xF7\x86}\xF8q\xC0n+\x8E\x888\x00\x008\xC0,\xC0" 400 157 "-" "-" "-"
10.92.0.10 - - [07/Nov/2024:02:33:06 +0000] "GET /.aws/credentials HTTP/1.1" 200 459 "-" "Mozilla/5.0 (Android 7.1.1; Mobile; rv:59.0) Gecko/59.0 Firefox/59.0" "-"
10.92.0.10 - - [07/Nov/2024:02:33:07 +0000] "GET /.config.yaml HTTP/1.1" 200 459 "-" "Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7.5) Gecko/20041215 Firefox/1.0 Red Hat/1.0-12.EL4" "-"
10.92.0.10 - - [07/Nov/2024:02:33:07 +0000] "GET /.env.bak HTTP/1.1" 200 459 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.108 Safari/537.36" "-"
10.92.0.10 - - [07/Nov/2024:02:33:07 +0000] "GET /.env.example HTTP/1.1" 200 459 "-" "Mozilla/5.0 (Macintosh; PPC Mac OS X; U; en; rv:1.8.1) Gecko/20061208 Firefox/2.0.0" "-"
10.92.0.9 - - [07/Nov/2024:02:33:08 +0000] "GET /.env.local HTTP/1.1" 200 459 "-" "Mozilla/5.0 (Linux; U; Android 2.3.5; en-gb; HTC_DesireHD_A9191 Build/GRJ90) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1" "-"
10.92.0.10 - - [07/Nov/2024:02:33:08 +0000] "GET /.env.prod HTTP/1.1" 200 459 "-" "Mozilla/4.0 (compatible; MSIE 5.0; Windows NT 4.0) Opera 6.04  [en]" "-"
10.92.0.9 - - [07/Nov/2024:02:33:08 +0000] "GET /.env.production HTTP/1.1" 200 459 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/6.0; .NET4.0E; .NET4.0C; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729; MATBJS)" "-"
10.92.0.10 - - [07/Nov/2024:02:33:09 +0000] "GET /.env.save HTTP/1.1" 200 459 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" "-"
10.92.0.10 - - [07/Nov/2024:02:33:09 +0000] "GET /.env.testing HTTP/1.1" 200 459 "-" "Mozilla/5.0 (Linux; BRAVIA 2015 Build/LMY48E.S223) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.101 Safari/537.36 OPR/28.0.1754.0 OMI/4.4.22.20.E102586-1.136" "-"
